"INSTRUMENTID","EXCHANGEID","INSTRUMENTNAME","PRODUCTID","PRODUCTCLASS","MAXLIMITORDERVOLUME","MINLIMITORDERVOLUME","VOLUMEMULTIPLE","PRICETICK","OPENDATE","EXPIREDATE","UNDERLYINGINSTRID","UNDERLYINGMULTIPLE"
"IO2006-P-3500","CFFEX","IO2006-P-3500","IO","6",20,1,100,0.2,"20191224","20200619","IO2006",1
"IO2009-C-3500","CFFEX","IO2009-C-3500","IO","6",20,1,100,0.2,"20191224","20200918","IO2009",1
"IO2009-P-3500","CFFEX","IO2009-P-3500","IO","6",20,1,100,0.2,"20191224","20200918","IO2009",1
"bb2007","DCE","细木工板2007","bb","1",1000,1,500,0.05,"20190715","20200714",null,null
"SR007","CZCE","白砂糖007","SR","1",1000,1,10,1,"20190715","20200714",null,0
"TA007","CZCE","精对苯二甲酸007","TA","1",1000,1,5,2,"20190715","20200714",null,null
"pp2007","DCE","聚丙烯2007","pp","1",1000,1,5,1,"20190715","20200714",null,null
"PM007","CZCE","普通小麦007","PM","1",1000,1,50,1,"20190715","20200714",null,0
"RS007","CZCE","油菜籽007","RS","1",1000,1,10,1,"20190715","20200714",null,null
"RM007","CZCE","菜籽粕007","RM","1",1000,1,10,1,"20190715","20200714",null,null
"LR007","CZCE","晚籼稻007","LR","1",1000,1,20,1,"20190715","20200714",null,null
"SF007","CZCE","硅铁007","SF","1",1000,1,5,2,"20190715","20200714",null,null
"SM007","CZCE","锰硅007","SM","1",1000,1,5,2,"20190715","20200714",null,null
"v2007","DCE","聚氯乙烯2007","v","1",1000,1,5,5,"20190715","20200714",null,null
"m2007","DCE","豆粕2007","m","1",1000,1,10,1,"20190715","20200714",null,null
"y2007","DCE","豆油2007","y","1",1000,1,10,2,"20190715","20200714",null,null
"jm2007","DCE","焦煤2007","jm","1",1000,1,60,0.5,"20190715","20200714",null,1
"AP007","CZCE","鲜苹果007","AP","1",1000,1,10,1,"20190715","20200714",null,1
"CJ007","CZCE","红枣007","CJ","1",1000,1,5,5,"20190715","20200714",null,1
"c2007","DCE","黄玉米2007","c","1",2000,1,10,1,"20190715","20200714",null,null
"cs2007","DCE","玉米淀粉2007","cs","1",1000,1,10,1,"20190715","20200714",null,null
"l2007","DCE","线型低密度聚乙烯2007","l","1",1000,1,5,5,"20190715","20200714",null,null
"MA007","CZCE","甲醇MA007","MA","1",1000,1,10,1,"20190715","20200714",null,null
"FG007","CZCE","玻璃007","FG","1",1000,1,20,1,"20190715","20200714",null,null
"JR007","CZCE","粳稻谷007","JR","1",1000,1,20,1,"20190715","20200714",null,null
"WH007","CZCE","优质强筋小麦007","WH","1",1000,1,20,1,"20190715","20200714",null,0
"CF007","CZCE","一号棉花007","CF","1",1000,1,5,5,"20190715","20200714",null,0
"RI007","CZCE","早籼稻007","RI","1",1000,1,20,1,"20190715","20200714",null,0
"OI007","CZCE","菜籽油007","OI","1",1000,1,10,1,"20190715","20200714",null,0
"ru1908C9400","SHFE","ru1908C9400","ru_o","2",100,1,10,1,"20190715","20190725","ru1908",1
"ru1908P9400","SHFE","ru1908P9400","ru_o","2",100,1,10,1,"20190715","20190725","ru1908",1
"JR011","CZCE","粳稻谷011","JR","1",1000,1,20,1,"20191115","20201113",null,null
"m2008-C-3000","DCE","m2008-C-3000","m_o","2",100,1,10,0.5,"20190827","20200707","m2008",1
"m2008-P-3000","DCE","m2008-P-3000","m_o","2",100,1,10,0.5,"20190827","20200707","m2008",1
"CF001C11200","CZCE","棉花001买权","CFC","2",100,1,5,1,"20190827","20191204","CF001",1
"CF001C11400","CZCE","棉花001买权","CFC","2",100,1,5,1,"20190827","20191204","CF001",1
"CF001P11200","CZCE","棉花001卖权","CFP","2",100,1,5,1,"20190827","20191204","CF001",1
"CF001P11400","CZCE","棉花001卖权","CFP","2",100,1,5,1,"20190827","20191204","CF001",1
"CF003C11400","CZCE","棉花003买权","CFC","2",100,1,5,1,"20190827","20200205","CF003",1
"CF003P11400","CZCE","棉花003卖权","CFP","2",100,1,5,1,"20190827","20200205","CF003",1
"CF005C11600","CZCE","棉花005买权","CFC","2",100,1,5,1,"20190827","20200403","CF005",1
"CF005C11800","CZCE","棉花005买权","CFC","2",100,1,5,1,"20190827","20200403","CF005",1
"CF005P11600","CZCE","棉花005卖权","CFP","2",100,1,5,1,"20190827","20200403","CF005",1
"CF005P11800","CZCE","棉花005卖权","CFP","2",100,1,5,1,"20190827","20200403","CF005",1
"CF007C11800","CZCE","棉花007买权","CFC","2",100,1,5,1,"20190827","20200603","CF007",1
"CF007C12000","CZCE","棉花007买权","CFC","2",100,1,5,1,"20190827","20200603","CF007",1
"CF007P11800","CZCE","棉花007卖权","CFP","2",100,1,5,1,"20190827","20200603","CF007",1
"CF007P12000","CZCE","棉花007卖权","CFP","2",100,1,5,1,"20190827","20200603","CF007",1
"CF911C11000","CZCE","棉花911买权","CFC","2",100,1,5,1,"20190827","20191010","CF911",1
"CF911C11200","CZCE","棉花911买权","CFC","2",100,1,5,1,"20190827","20191010","CF911",1
"CF911P11000","CZCE","棉花911卖权","CFP","2",100,1,5,1,"20190827","20191010","CF911",1
"CF911P11200","CZCE","棉花911卖权","CFP","2",100,1,5,1,"20190827","20191010","CF911",1
"SF011","CZCE","硅铁011","SF","1",1000,1,5,2,"20191115","20201113",null,null
"UR011","CZCE","尿素011","UR","1",1000,1,20,1,"20191115","20201113",null,1
"TA011","CZCE","精对苯二甲酸011","TA","1",1000,1,5,2,"20191115","20201113",null,null
"pp2011","DCE","聚丙烯2011","pp","1",1000,1,5,1,"20191115","20201113",null,null
"FG011","CZCE","玻璃011","FG","1",1000,1,20,1,"20191115","20201113",null,null
"CF005C16400","CZCE","棉花005买权","CFC","2",100,1,5,1,"20190702","20200403","CF005",1
"CF005P16400","CZCE","棉花005卖权","CFP","2",100,1,5,1,"20190702","20200403","CF005",1
"ZC007","CZCE","动力煤ZC007","ZC","1",1000,1,100,0.2,"20190708","20200707",null,1
"m2009-C-3050","DCE","m2009-C-3050","m_o","2",100,1,10,0.5,"20191008","20200807","m2009",1
"IO2012-C-3500","CFFEX","IO2012-C-3500","IO","6",20,1,100,0.2,"20191224","20201218","IO2012",1
"IO2012-P-3500","CFFEX","IO2012-P-3500","IO","6",20,1,100,0.2,"20191224","20201218","IO2012",1
"CF101P13000","CZCE","棉花101卖权","CFP","2",100,1,5,1,"20200212","20201203","CF101",1
"CF101P13200","CZCE","棉花101卖权","CFP","2",100,1,5,1,"20200212","20201203","CF101",1
"CF101P13400","CZCE","棉花101卖权","CFP","2",100,1,5,1,"20200212","20201203","CF101",1
"fu2009","SHFE","燃料油2009","fu","1",500,1,10,1,"20190902","20200831","fu",1
"sc2209","INE","原油2209","sc","1",500,1,1000,0.1,"20190902","20220831","sc",1
"c2005-C-1800","DCE","c2005-C-1800","c_o","2",100,1,10,0.5,"20190902","20200408","c2005",1
"c2005-P-1800","DCE","c2005-P-1800","c_o","2",100,1,10,0.5,"20190902","20200408","c2005",1
"c2007-C-1820","DCE","c2007-C-1820","c_o","2",100,1,10,0.5,"20190902","20200605","c2007",1
"c2007-P-1820","DCE","c2007-P-1820","c_o","2",100,1,10,0.5,"20190902","20200605","c2007",1
"m1912-C-3250","DCE","m1912-C-3250","m_o","2",100,1,10,0.5,"20190903","20191107","m1912",1
"m1912-P-3250","DCE","m1912-P-3250","m_o","2",100,1,10,0.5,"20190903","20191107","m1912",1
"m2007-C-3000","DCE","m2007-C-3000","m_o","2",100,1,10,0.5,"20190904","20200605","m2007",1
"m2007-P-3000","DCE","m2007-P-3000","m_o","2",100,1,10,0.5,"20190904","20200605","m2007",1
"m2009-P-3050","DCE","m2009-P-3050","m_o","2",100,1,10,0.5,"20191008","20200807","m2009",1
"CF001C10800","CZCE","棉花001买权","CFC","2",100,1,5,1,"20191008","20191204","CF001",1
"CF001P10800","CZCE","棉花001卖权","CFP","2",100,1,5,1,"20191008","20191204","CF001",1
"CF003C11000","CZCE","棉花003买权","CFC","2",100,1,5,1,"20191008","20200205","CF003",1
"CF003P11000","CZCE","棉花003卖权","CFP","2",100,1,5,1,"20191008","20200205","CF003",1
"CF007C11400","CZCE","棉花007买权","CFC","2",100,1,5,1,"20191008","20200603","CF007",1
"CF007P11400","CZCE","棉花007卖权","CFP","2",100,1,5,1,"20191008","20200603","CF007",1
"i2007-C-680","DCE","i2007-C-680","i_o","2",1000,1,100,0.1,"20191210","20200605","i2007",1
"i2007-P-660","DCE","i2007-P-660","i_o","2",1000,1,100,0.1,"20191210","20200605","i2007",1
"i2007-P-670","DCE","i2007-P-670","i_o","2",1000,1,100,0.1,"20191210","20200605","i2007",1
"i2007-P-680","DCE","i2007-P-680","i_o","2",1000,1,100,0.1,"20191210","20200605","i2007",1
"i2008-C-650","DCE","i2008-C-650","i_o","2",1000,1,100,0.1,"20191210","20200707","i2008",1
"i2008-C-660","DCE","i2008-C-660","i_o","2",1000,1,100,0.1,"20191210","20200707","i2008",1
"i2008-P-650","DCE","i2008-P-650","i_o","2",1000,1,100,0.1,"20191210","20200707","i2008",1
"i2008-P-660","DCE","i2008-P-660","i_o","2",1000,1,100,0.1,"20191210","20200707","i2008",1
"i2009-C-510","DCE","i2009-C-510","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-C-640","DCE","i2009-C-640","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-C-650","DCE","i2009-C-650","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-C-660","DCE","i2009-C-660","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-C-670","DCE","i2009-C-670","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-C-680","DCE","i2009-C-680","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-P-510","DCE","i2009-P-510","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-P-640","DCE","i2009-P-640","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-P-650","DCE","i2009-P-650","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-P-660","DCE","i2009-P-660","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-P-670","DCE","i2009-P-670","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2009-P-680","DCE","i2009-P-680","i_o","2",1000,1,100,0.1,"20191210","20200807","i2009",1
"i2010-C-500","DCE","i2010-C-500","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-C-630","DCE","i2010-C-630","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"ru1909C9200","SHFE","ru1909C9200","ru_o","2",100,1,10,1,"20190806","20190826","ru1909",1
"ru1909P9200","SHFE","ru1909P9200","ru_o","2",100,1,10,1,"20190806","20190826","ru1909",1
"ru1910C9200","SHFE","ru1910C9200","ru_o","2",100,1,10,1,"20190806","20190924","ru1910",1
"ru1910P9200","SHFE","ru1910P9200","ru_o","2",100,1,10,1,"20190806","20190924","ru1910",1
"ru1911C9300","SHFE","ru1911C9300","ru_o","2",100,1,10,1,"20190806","20191025","ru1911",1
"ru1911P9300","SHFE","ru1911P9300","ru_o","2",100,1,10,1,"20190806","20191025","ru1911",1
"ru2003C10000","SHFE","ru2003C10000","ru_o","2",100,1,10,1,"20190806","20200224","ru2003",1
"ru2003P10000","SHFE","ru2003P10000","ru_o","2",100,1,10,1,"20190806","20200224","ru2003",1
"CF001C11800","CZCE","棉花001买权","CFC","2",100,1,5,1,"20190806","20191204","CF001",1
"CF001C12000","CZCE","棉花001买权","CFC","2",100,1,5,1,"20190806","20191204","CF001",1
"CF001P11800","CZCE","棉花001卖权","CFP","2",100,1,5,1,"20190806","20191204","CF001",1
"CF001P12000","CZCE","棉花001卖权","CFP","2",100,1,5,1,"20190806","20191204","CF001",1
"CF003C11800","CZCE","棉花003买权","CFC","2",100,1,5,1,"20190806","20200205","CF003",1
"CF003C12000","CZCE","棉花003买权","CFC","2",100,1,5,1,"20190806","20200205","CF003",1
"CF003C12200","CZCE","棉花003买权","CFC","2",100,1,5,1,"20190806","20200205","CF003",1
"CF003P11800","CZCE","棉花003卖权","CFP","2",100,1,5,1,"20190806","20200205","CF003",1
"CF003P12000","CZCE","棉花003卖权","CFP","2",100,1,5,1,"20190806","20200205","CF003",1
"CF003P12200","CZCE","棉花003卖权","CFP","2",100,1,5,1,"20190806","20200205","CF003",1
"CF005C12200","CZCE","棉花005买权","CFC","2",100,1,5,1,"20190806","20200403","CF005",1
"CF005C12400","CZCE","棉花005买权","CFC","2",100,1,5,1,"20190806","20200403","CF005",1
"CF005P12200","CZCE","棉花005卖权","CFP","2",100,1,5,1,"20190806","20200403","CF005",1
"CF005P12400","CZCE","棉花005卖权","CFP","2",100,1,5,1,"20190806","20200403","CF005",1
"CF911C11600","CZCE","棉花911买权","CFC","2",100,1,5,1,"20190806","20191010","CF911",1
"CF911C11800","CZCE","棉花911买权","CFC","2",100,1,5,1,"20190806","20191010","CF911",1
"CF911P11600","CZCE","棉花911卖权","CFP","2",100,1,5,1,"20190806","20191010","CF911",1
"ru2008C14500","SHFE","ru2008C14500","ru_o","2",100,1,10,1,"20191126","20200727","ru2008",1
"ru2008P14500","SHFE","ru2008P14500","ru_o","2",100,1,10,1,"20191126","20200727","ru2008",1
"IO2002-C-4600","CFFEX","IO2002-C-4600","IO","6",20,1,100,0.2,"20200103","20200221","IO2002",1
"IO2002-P-4600","CFFEX","IO2002-P-4600","IO","6",20,1,100,0.2,"20200103","20200221","IO2002",1
"IO2003-C-4600","CFFEX","IO2003-C-4600","IO","6",20,1,100,0.2,"20200103","20200320","IO2003",1
"RS011","CZCE","油菜籽011","RS","1",1000,1,10,1,"20191115","20201113",null,null
"y2011","DCE","豆油2011","y","1",1000,1,10,2,"20191115","20201113",null,null
"jm2011","DCE","焦煤2011","jm","1",1000,1,60,0.5,"20191115","20201113",null,1
"i2011","DCE","铁矿石2011","i","1",1000,1,100,0.5,"20191115","20201113",null,1
"AP011","CZCE","鲜苹果011","AP","1",1000,1,10,1,"20191115","20201113",null,1
"b2011","DCE","黄大豆2号2011","b","1",1000,1,10,1,"20191115","20201113",null,null
"c2011","DCE","黄玉米2011","c","1",2000,1,10,1,"20191115","20201113",null,null
"cs2011","DCE","玉米淀粉2011","cs","1",1000,1,10,1,"20191115","20201113",null,null
"OI011","CZCE","菜籽油011","OI","1",1000,1,10,1,"20191115","20201113",null,1
"CF011","CZCE","一号棉花011","CF","1",1000,1,5,5,"20191115","20201113",null,null
"SR011","CZCE","白砂糖011","SR","1",1000,1,10,1,"20191115","20201113",null,null
"l2011","DCE","线型低密度聚乙烯2011","l","1",1000,1,5,5,"20191115","20201113",null,null
"IO2003-P-4600","CFFEX","IO2003-P-4600","IO","6",20,1,100,0.2,"20200103","20200320","IO2003",1
"IO2004-C-4600","CFFEX","IO2004-C-4600","IO","6",20,1,100,0.2,"20200103","20200417","IO2004",1
"IO2004-P-4600","CFFEX","IO2004-P-4600","IO","6",20,1,100,0.2,"20200103","20200417","IO2004",1
"i2002-C-760","DCE","i2002-C-760","i_o","2",1000,1,100,0.1,"20200103","20200108","i2002",1
"i2002-P-760","DCE","i2002-P-760","i_o","2",1000,1,100,0.1,"20200103","20200108","i2002",1
"i2003-C-750","DCE","i2003-C-750","i_o","2",1000,1,100,0.1,"20200103","20200207","i2003",1
"i2003-P-750","DCE","i2003-P-750","i_o","2",1000,1,100,0.1,"20200103","20200207","i2003",1
"CF011C16200","CZCE","棉花011买权","CFC","2",100,1,5,1,"20200103","20201013","CF011",1
"CF011P16200","CZCE","棉花011卖权","CFP","2",100,1,5,1,"20200103","20201013","CF011",1
"CF101P13600","CZCE","棉花101卖权","CFP","2",100,1,5,1,"20200212","20201203","CF101",1
"c1911-C-1640","DCE","c1911-C-1640","c_o","2",100,1,10,0.5,"20191008","20191014","c1911",1
"m2011-C-2600","DCE","m2011-C-2600","m_o","2",100,1,10,0.5,"20191128","20201015","m2011",1
"c1911-C-1660","DCE","c1911-C-1660","c_o","2",100,1,10,0.5,"20191008","20191014","c1911",1
"c1911-P-1640","DCE","c1911-P-1640","c_o","2",100,1,10,0.5,"20191008","20191014","c1911",1
"c1911-P-1660","DCE","c1911-P-1660","c_o","2",100,1,10,0.5,"20191008","20191014","c1911",1
"c2003-C-1700","DCE","c2003-C-1700","c_o","2",100,1,10,0.5,"20191008","20200207","c2003",1
"c2003-P-1700","DCE","c2003-P-1700","c_o","2",100,1,10,0.5,"20191008","20200207","c2003",1
"c2005-C-1740","DCE","c2005-C-1740","c_o","2",100,1,10,0.5,"20191008","20200408","c2005",1
"c2005-P-1740","DCE","c2005-P-1740","c_o","2",100,1,10,0.5,"20191008","20200408","c2005",1
"c2007-C-1760","DCE","c2007-C-1760","c_o","2",100,1,10,0.5,"20191008","20200605","c2007",1
"c2007-P-1760","DCE","c2007-P-1760","c_o","2",100,1,10,0.5,"20191008","20200605","c2007",1
"m2008-C-3050","DCE","m2008-C-3050","m_o","2",100,1,10,0.5,"20191008","20200707","m2008",1
"m2008-P-3050","DCE","m2008-P-3050","m_o","2",100,1,10,0.5,"20191008","20200707","m2008",1
"m2011-P-2600","DCE","m2011-P-2600","m_o","2",100,1,10,0.5,"20191128","20201015","m2011",1
"i2010-C-640","DCE","i2010-C-640","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-C-650","DCE","i2010-C-650","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-C-660","DCE","i2010-C-660","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-C-670","DCE","i2010-C-670","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-P-500","DCE","i2010-P-500","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-P-630","DCE","i2010-P-630","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-P-640","DCE","i2010-P-640","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-P-650","DCE","i2010-P-650","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-P-660","DCE","i2010-P-660","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2010-P-670","DCE","i2010-P-670","i_o","2",1000,1,100,0.1,"20191210","20200907","i2010",1
"i2011-C-620","DCE","i2011-C-620","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"IO2004-P-4500","CFFEX","IO2004-P-4500","IO","6",20,1,100,0.2,"20191231","20200417","IO2004",1
"c2005-C-1820","DCE","c2005-C-1820","c_o","2",100,1,10,0.5,"20190820","20200408","c2005",1
"c2005-P-1820","DCE","c2005-P-1820","c_o","2",100,1,10,0.5,"20190820","20200408","c2005",1
"c2007-C-1840","DCE","c2007-C-1840","c_o","2",100,1,10,0.5,"20190820","20200605","c2007",1
"c2007-P-1840","DCE","c2007-P-1840","c_o","2",100,1,10,0.5,"20190820","20200605","c2007",1
"CF007C15200","CZCE","棉花007买权","CFC","2",100,1,5,1,"20191231","20200603","CF007",1
"CF007P15200","CZCE","棉花007卖权","CFP","2",100,1,5,1,"20191231","20200603","CF007",1
"CF009C15400","CZCE","棉花009买权","CFC","2",100,1,5,1,"20191231","20200805","CF009",1
"CF009C15600","CZCE","棉花009买权","CFC","2",100,1,5,1,"20191231","20200805","CF009",1
"CF009P15400","CZCE","棉花009卖权","CFP","2",100,1,5,1,"20191231","20200805","CF009",1
"CF009P15600","CZCE","棉花009卖权","CFP","2",100,1,5,1,"20191231","20200805","CF009",1
"CF011C15800","CZCE","棉花011买权","CFC","2",100,1,5,1,"20191231","20201013","CF011",1
"CF011C16000","CZCE","棉花011买权","CFC","2",100,1,5,1,"20191231","20201013","CF011",1
"CF011P15800","CZCE","棉花011卖权","CFP","2",100,1,5,1,"20191231","20201013","CF011",1
"CF011P16000","CZCE","棉花011卖权","CFP","2",100,1,5,1,"20191231","20201013","CF011",1
"MA003C2325","CZCE","甲醇003买权","MAC","2",100,1,10,0.5,"20191231","20200205","MA003",1
"MA003C2350","CZCE","甲醇003买权","MAC","2",100,1,10,0.5,"20191231","20200205","MA003",1
"MA003P2325","CZCE","甲醇003卖权","MAP","2",100,1,10,0.5,"20191231","20200205","MA003",1
"MA003P2350","CZCE","甲醇003卖权","MAP","2",100,1,10,0.5,"20191231","20200205","MA003",1
"MA004C2350","CZCE","甲醇004买权","MAC","2",100,1,10,0.5,"20191231","20200304","MA004",1
"MA004P2350","CZCE","甲醇004卖权","MAP","2",100,1,10,0.5,"20191231","20200304","MA004",1
"MA005C2350","CZCE","甲醇005买权","MAC","2",100,1,10,0.5,"20191231","20200403","MA005",1
"MA005C2375","CZCE","甲醇005买权","MAC","2",100,1,10,0.5,"20191231","20200403","MA005",1
"MA005P2350","CZCE","甲醇005卖权","MAP","2",100,1,10,0.5,"20191231","20200403","MA005",1
"MA005P2375","CZCE","甲醇005卖权","MAP","2",100,1,10,0.5,"20191231","20200403","MA005",1
"CF911P11800","CZCE","棉花911卖权","CFP","2",100,1,5,1,"20190806","20191010","CF911",1
"CF001C11600","CZCE","棉花001买权","CFC","2",100,1,5,1,"20190807","20191204","CF001",1
"CF001P11600","CZCE","棉花001卖权","CFP","2",100,1,5,1,"20190807","20191204","CF001",1
"CF911C11400","CZCE","棉花911买权","CFC","2",100,1,5,1,"20190807","20191010","CF911",1
"CF911P11400","CZCE","棉花911卖权","CFP","2",100,1,5,1,"20190807","20191010","CF911",1
"nr2004","INE","20号胶2004","nr","1",500,1,10,5,"20190812","20200415",null,1
"nr2006","INE","20号胶2006","nr","1",500,1,10,5,"20190812","20200615",null,1
"nr2002","INE","20号胶2002","nr","1",500,1,10,5,"20190812","20200217",null,1
"nr2003","INE","20号胶2003","nr","1",500,1,10,5,"20190812","20200316",null,1
"nr2005","INE","20号胶2005","nr","1",500,1,10,5,"20190812","20200515",null,1
"nr2007","INE","20号胶2007","nr","1",500,1,10,5,"20190812","20200715","nr",1
"c2005-C-1860","DCE","c2005-C-1860","c_o","2",100,1,10,0.5,"20190812","20200408","c2005",1
"c2005-P-1860","DCE","c2005-P-1860","c_o","2",100,1,10,0.5,"20190812","20200408","c2005",1
"c2007-C-1860","DCE","c2007-C-1860","c_o","2",100,1,10,0.5,"20190812","20200605","c2007",1
"c2007-C-1880","DCE","c2007-C-1880","c_o","2",100,1,10,0.5,"20190812","20200605","c2007",1
"c2007-P-1860","DCE","c2007-P-1860","c_o","2",100,1,10,0.5,"20190812","20200605","c2007",1
"c2007-P-1880","DCE","c2007-P-1880","c_o","2",100,1,10,0.5,"20190812","20200605","c2007",1
"SR003C5900","CZCE","白糖003买权","SRC","2",100,1,10,0.5,"20190812","20200205","SR003",1
"SR003P5900","CZCE","白糖003卖权","SRP","2",100,1,10,0.5,"20190812","20200205","SR003",1
"SR005C5800","CZCE","白糖005买权","SRC","2",100,1,10,0.5,"20190812","20200403","SR005",1
"SR005P5800","CZCE","白糖005卖权","SRP","2",100,1,10,0.5,"20190812","20200403","SR005",1
"pp2008","DCE","聚丙烯2008","pp","1",1000,1,5,1,"20190815","20200814",null,null
"y2008","DCE","豆油2008","y","1",1000,1,10,2,"20190815","20200814",null,null
"jm2008","DCE","焦煤2008","jm","1",1000,1,60,0.5,"20190815","20200814",null,1
"FG008","CZCE","玻璃008","FG","1",1000,1,20,1,"20190815","20200814",null,null
"b2008","DCE","黄大豆2号2008","b","1",1000,1,10,1,"20190815","20200814",null,null
"p2008","DCE","棕榈油2008","p","1",1000,1,10,2,"20190815","20200814",null,null
"ru2010C14750","SHFE","ru2010C14750","ru_o","2",100,1,10,1,"20191024","20200924","ru2010",1
"ru2010P14750","SHFE","ru2010P14750","ru_o","2",100,1,10,1,"20191024","20200924","ru2010",1
"i2011-C-630","DCE","i2011-C-630","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-C-640","DCE","i2011-C-640","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-C-650","DCE","i2011-C-650","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-C-660","DCE","i2011-C-660","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-P-620","DCE","i2011-P-620","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-P-630","DCE","i2011-P-630","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-P-640","DCE","i2011-P-640","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-P-650","DCE","i2011-P-650","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2011-P-660","DCE","i2011-P-660","i_o","2",1000,1,100,0.1,"20191210","20201015","i2011",1
"i2002-C-720","DCE","i2002-C-720","i_o","2",1000,1,100,0.1,"20191210","20200108","i2002",1
"i2002-P-720","DCE","i2002-P-720","i_o","2",1000,1,100,0.1,"20191210","20200108","i2002",1
"i2003-C-710","DCE","i2003-C-710","i_o","2",1000,1,100,0.1,"20191210","20200207","i2003",1
"i2003-C-720","DCE","i2003-C-720","i_o","2",1000,1,100,0.1,"20191210","20200207","i2003",1
"i2003-C-730","DCE","i2003-C-730","i_o","2",1000,1,100,0.1,"20191210","20200207","i2003",1
"i2003-P-710","DCE","i2003-P-710","i_o","2",1000,1,100,0.1,"20191210","20200207","i2003",1
"i2003-P-720","DCE","i2003-P-720","i_o","2",1000,1,100,0.1,"20191210","20200207","i2003",1
"i2003-P-730","DCE","i2003-P-730","i_o","2",1000,1,100,0.1,"20191210","20200207","i2003",1
"i2004-C-700","DCE","i2004-C-700","i_o","2",1000,1,100,0.1,"20191210","20200306","i2004",1
"i2004-C-710","DCE","i2004-C-710","i_o","2",1000,1,100,0.1,"20191210","20200306","i2004",1
"i2004-P-700","DCE","i2004-P-700","i_o","2",1000,1,100,0.1,"20191210","20200306","i2004",1
"i2004-P-710","DCE","i2004-P-710","i_o","2",1000,1,100,0.1,"20191210","20200306","i2004",1
"i2005-C-690","DCE","i2005-C-690","i_o","2",1000,1,100,0.1,"20191210","20200408","i2005",1
"i2005-C-700","DCE","i2005-C-700","i_o","2",1000,1,100,0.1,"20191210","20200408","i2005",1
"jd2010","DCE","鲜鸡蛋2010","jd","1",300,1,10,1,"20191029","20201027",null,0
"eg2010","DCE","乙二醇2010","eg","1",1000,1,10,1,"20191029","20201027",null,1
"eb2010","DCE","苯乙烯2010","eb","1",1000,1,5,1,"20191029","20201027",null,0
"CF009C15000","CZCE","棉花009买权","CFC","2",100,1,5,1,"20191029","20200805","CF009",1
"CF009P15000","CZCE","棉花009卖权","CFP","2",100,1,5,1,"20191029","20200805","CF009",1
"ru2004C9700","SHFE","ru2004C9700","ru_o","2",100,1,10,1,"20200205","20200325","ru2004",1
"ru2004C9800","SHFE","ru2004C9800","ru_o","2",100,1,10,1,"20200205","20200325","ru2004",1
"ru2004P9700","SHFE","ru2004P9700","ru_o","2",100,1,10,1,"20200205","20200325","ru2004",1
"ru2004P9800","SHFE","ru2004P9800","ru_o","2",100,1,10,1,"20200205","20200325","ru2004",1
"ru2006C9900","SHFE","ru2006C9900","ru_o","2",100,1,10,1,"20200205","20200525","ru2006",1
"ru2006P9900","SHFE","ru2006P9900","ru_o","2",100,1,10,1,"20200205","20200525","ru2006",1
"MA003C1875","CZCE","甲醇003买权","MAC","2",100,1,10,0.5,"20200205","20200205","MA003",1
"MA003C1900","CZCE","甲醇003买权","MAC","2",100,1,10,0.5,"20200205","20200205","MA003",1
"MA003P1875","CZCE","甲醇003卖权","MAP","2",100,1,10,0.5,"20200205","20200205","MA003",1
